UTC_Seconds_Of_Day,Latitude(deg),Longitude(deg),WGS84_Ellipsoid_Height(m),South-to-North_Slope,West-to-East_Slope,RMS_Fit(cm),Number_Of_ATM_Measurments_Used,Number_Of_ATM_Measurements_Removed,Distance_Of_Block_To_The_Right_Of_Aircraft(m),Track_Identifier
54973,69.257164,310.356132,502.2502,-0.0052292,0.2679745,718.65,3728,8,-34,3
54973,69.25713,310.355263,494.5717,0.0590266,0.160652,670.34,3205,5,0,0
54973.25,69.25669,310.353132,490.2945,-0.0451596,0.1637468,531,3678,70,89,1
54973.25,69.256751,310.354687,489.3765,0.0986017,0.0558159,578.05,2262,26,27,2
54973.25,69.256811,310.356242,503.6692,-0.082841,0.4050931,489.33,3597,59,-34,3
54973.25,69.256778,310.355373,494.4388,-0.0006311,0.2126194,682.61,3228,42,0,0
54973.5,69.256338,310.353249,491.4159,-0.0192752,0.0258197,492.81,3694,55,88,1
54973.5,69.256396,310.354734,487.0366,0.0956837,0.2238256,705.89,2177,2,30,2
54973.5,69.256454,310.356219,505.2249,-0.028432,0.4469292,403.31,3661,88,-29,3
54973.5,69.256425,310.355483,494.568,-0.0165374,0.3334343,695.32,3280,6,0,0
54973.75,69.255983,310.353305,490.848,0.0312422,-0.0377449,549.93,3729,12,91,1
54973.75,69.256041,310.354797,483.7128,0.0580495,0.2329451,692.2,2182,2,32,2
54973.75,69.2561,310.356289,504.6624,0.0953883,0.3113638,636.29,3744,34,-28,3
54973.75,69.256072,310.355593,493.793,0.0621257,0.3926299,713.86,3358,6,0,0
54974,69.255629,310.353403,488.5418,0.0614465,-0.1507596,506.15,3757,33,91,1
54974,69.255687,310.354871,482.0831,0.032058,0.2303172,644.58,2137,3,33,2
54974,69.255745,310.35634,503.4044,0.1103026,0.3046177,659.9,3770,4,-25,3
54974,69.25572,310.355704,493.3416,0.0996268,0.3949113,667.62,3409,12,0,0
54974.25,69.255274,310.353462,484.7665,0.1114113,-0.1465187,492.83,3749,30,93,1
54974.25,69.255333,310.354941,482.6771,-0.0183549,0.1119899,525.53,2110,61,35,2
54974.25,69.255392,310.356421,501.0011,0.0820699,0.3133433,686.44,3745,4,-24,3
54974.25,69.255368,310.355815,492.6947,0.0758759,0.3158446,682.03,3467,4,0,0
54974.5,69.254915,310.353426,479.639,0.1540178,-0.0585471,555.95,3608,12,99,1
54974.5,69.254977,310.354965,483.1882,-0.0245638,0.0677062,499.87,2269,13,38,2
54974.5,69.255038,310.356504,496.076,0.1011241,0.2586295,759.38,3813,0,-23,3
54974.5,69.255015,310.355927,490.3871,0.0535795,0.2220039,660.29,3511,8,0,0
54974.75,69.25456,310.353479,474.5199,0.1616006,0.0490126,599.89,3510,1,102,1
54974.75,69.254623,310.355029,482.5947,0.0237372,0.1024522,546.64,2280,0,40,2
54974.75,69.254685,310.356579,493.1966,0.1553546,0.3309418,672.37,3831,0,-21,3
