name= LTER_0068.sig,,,
instrument= HK: 6232084 (HR-512i),,,
integration= 20.0  0.0  0.0  20.0  0.0  0.0,,,
scan method= Time-based  Time-based,,,
scan coadds= 250  0  0  250  0  0,,,
scan time= 5  5,,,
scan settings= AI  AI,,,
external data set1= 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,,
external data set2= 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,,
external data dark= 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,,
external data mask= 0,,,
optic= LENS 4(1)  LENS 4(1),,,
temp= 23.5  0.0  0.0  23.5  0.0  0.0,,,
vis detector temp= 23.5  23.5,,,
battery= 8.28  8.32,,,
error= 0  0,,,
units= Radiance  Radiance,,,
time= 6/28/2024 11:32:45 AM  6/28/2024 11:33:04 AM,,,
longitude= 07555.6442W       07555.6448W,,,
latitude= 3717.2897N        3717.2910N,,,
gpstime= 125230.300        125249.304,,,
comm=,,,
memory slot= 94  95,,,
factors= 1.000  1.000  1.000 [Overlap: Preserve  Matching Type: None],,,
inclinometer x offset= 0  0,,,
inclinometer y offset= 30  31,,,
,,,
Wavlen,Refer,Target,Reflect
535.3,234130,234276.25,100.06
536.9,232891.2,233069.4,100.08
538.5,230380.2,230542.2,100.07
540,227630.78,227727.83,100.04
541.6,228857.4,228873.6,100.01
543.1,230782.5,230815,100.01
544.7,231788.55,231886.2,100.04
546.2,231345.9,231460,100.05
547.8,231673.5,231788.13,100.05
549.3,232295.8,232428.2,100.06
550.9,232064.1,232196.5,100.06
552.5,232322.4,232437.2,100.05
554,232725.9,232855.3,100.06
555.5,230801.03,231008.05,100.09
557.1,227540.1,227744.2,100.09
558.7,225186,225357.6,100.08
560.2,225723.8,225879.3,100.07
561.8,226865.45,227005.63,100.06
563.3,226980,227182.8,100.09
564.9,225485.2,225657.35,100.08
566.4,224584.45,224773.15,100.08
568,222274.4,222479.8,100.09
569.5,220322.38,220513.48,100.09
571,220391.83,220552.08,100.07
572.6,222163.63,222325.38,100.07
574.1,221644.53,221807.78,100.07
575.7,221265,221430,100.07
577.2,220262.85,220429.35,100.08
578.8,221291.05,221409,100.05
580.3,223917.65,224037,100.05
581.9,226578.75,226734,100.07
583.4,227012.9,227187.15,100.08
585,224824.5,225018.38,100.09
586.5,220447.5,220697.4,100.11
588,209923.05,210212.25,100.14
589.6,205685.13,205831.33,100.07
591.1,207529.68,207677.48,100.07
592.7,209384.1,209533.5,100.07
594.2,210564.9,210659.4,100.04
595.7,212602.1,212678.5,100.04
597.3,213844,213959.8,100.05
598.8,215182.5,215260.5,100.04
600.3,215754.4,215872.6,100.05
601.9,217035,217134.38,100.05
603.4,219266.8,219367.05,100.05
604.9,219906.43,220007.55,100.05
606.5,219377.63,219499.88,100.06
608,218056.05,218199.9,100.07
609.5,216804.23,216928.58,100.06
611.1,215855.2,216001.5,100.07
612.6,214036.4,214162.7,100.06
614.1,212568.38,212695.73,100.06
615.7,211014.83,211121.95,100.05
617.2,212083.4,212148.35,100.03
618.7,213831.6,213919.2,100.04
620.3,214654,214764.88,100.05
621.8,213329.03,213441.15,100.05
623.3,211251.6,211387.95,100.06
624.8,209208,209323,100.05
626.4,207007.85,207147.5,100.07
627.9,205055.35,205149.65,100.05
629.4,204466.05,204537.6,100.03
631,204609,204705.4,100.05
632.5,205854.9,205952.3,100.05
634,207255,207328.8,100.04
635.5,208331.4,208430.7,100.05
637,209986.6,210036.8,100.02
638.6,209999.4,210050.1,100.02
640.1,208973.33,209050.05,100.04
641.6,208799.4,208876.8,100.04
643.1,208267.55,208397.43,100.06
644.7,206049.6,206206.65,100.08
646.2,201788.3,201893.7,100.05
647.7,198381.6,198434.7,100.03
649.2,197900.4,197927.1,100.01
650.7,198955.2,198982.35,100.01
652.2,200233.8,200401.5,100.08
653.8,197482.83,197972,100.25
655.3,189574.45,190066.18,100.26
656.8,190057.9,189971.88,99.95
658.3,195767.35,195567.5,99.9
659.8,201129.78,201044.2,99.96
661.3,204854.18,204854.18,100
662.8,205943.85,206001.2,100.03
664.3,206531.13,206559.95,100.01
665.8,206538,206567,100.01
667.4,206679.2,206737.65,100.03
668.9,206649.23,206649.23,100
670.4,205751,205780.75,100.01
671.9,205081.43,205081.43,100
673.4,204913.9,204944.38,100.01
674.9,204554.7,204585.53,100.02
676.4,204422.4,204453.6,100.02
677.9,204009.6,204009.6,100
679.4,203580.03,203580.03,100
680.9,202819.05,202851.6,100.02
682.4,201532.5,201598.75,100.03
683.9,197617.53,197752.63,100.07
685.4,185040.63,185246.88,100.11
686.9,171722.08,171791.73,100.04
688.4,169387.85,169423,100.02
689.9,171750.15,171750.15,100
691.4,173263.68,173263.68,100
692.9,172433.4,172398,99.98
694.4,174455.3,174420.33,99.98
695.9,178943.1,178874.5,99.96
697.4,179421.8,179421.8,100
698.9,176490,176523.3,100.02
700.4,174338.83,174338.83,100
701.9,175203.35,175170.68,99.98
703.4,177681.6,177616.8,99.96
704.9,179536.5,179536.5,100
706.4,181133.4,181101.38,99.98
707.8,182101.88,182070,99.98
709.3,182833.35,182801.58,99.98
710.8,182891.45,182828.1,99.97
712.3,181700,181700,100
713.8,176900.85,176995.5,100.05
715.3,162671.8,162924.2,100.16
716.8,142389.6,142610.8,100.16
718.2,129195.3,129290.25,100.07
719.7,132347.5,132284.1,99.95
721.2,140699.7,140636.15,99.95
722.7,139676.25,139771.88,100.07
724.2,135680,135712,100.02
725.7,134065.5,134065.5,100
727.1,133934.25,133934.25,100
728.6,135010.8,135010.8,100
730.1,139030.1,138932.38,99.93
731.6,147979.13,147848.03,99.91
733,157039.7,156940.85,99.94
734.5,161904.6,161838.3,99.96
736,164338.5,164305.13,99.98
737.5,166208.38,166141.13,99.96
738.9,168132.95,168065.25,99.96
740.4,170363.6,170295.4,99.96
741.9,172723.4,172654.75,99.96
743.3,174719.35,174650.25,99.96
744.8,175970.73,175935.9,99.98
746.3,176517.9,176482.8,99.98
747.8,176061.38,175990.63,99.96
749.2,175199.93,175128.58,99.96
750.7,174478.75,174406.8,99.96
752.1,174192.55,174156.28,99.98
753.6,173950.7,173914.13,99.98
755.1,173128.13,173128.13,100
756.5,169074,169185.6,100.07
758,143594.4,144120.8,100.37
759.5,101422.2,101955.6,100.53
760.9,77998.65,78230.1,100.3
762.4,74607,74685,100.1
763.8,85985.93,85828.23,99.82
765.3,108642.6,108443.48,99.82
766.7,132259.8,132018.45,99.82
768.2,149632.65,149429.4,99.86
769.6,159415.1,159332.8,99.95
771.1,164044.13,163960.88,99.95
772.5,165733.43,165691.35,99.97
774,166267.8,166182.6,99.95
775.4,166439.63,166396.45,99.97
776.9,166126.13,166082.35,99.97
778.3,165745.2,165745.2,100
779.8,165375,165420,100.03
781.2,165027.08,165072.65,100.03
782.7,164162.1,164208.2,100.03
784.1,163204.25,163157.5,99.97
785.5,161387.28,161292.43,99.94
787,158441.4,158489.5,100.03
788.4,155117.03,155165.85,100.03
789.9,152768,152817.6,100.03
791.3,151528,151628.75,100.07
792.8,151529.18,151529.18,100
794.2,151143.3,151143.3,100
795.6,150339.95,150392.78,100.04
797,150558.38,150558.38,100
798.5,150000.25,150054.88,100.04
799.9,148507.6,148563.2,100.04
801.3,147173.85,147230.33,100.04
802.8,146657,146657,100
804.2,147494.03,147435.75,99.96
805.6,148773.2,148832.43,100.04
807.1,148456,148516.25,100.04
808.5,145955.3,146016.6,100.04
809.9,141908.6,141970.95,100.04
811.3,134915.2,135042,100.09
812.8,124485,124678.5,100.16
814.2,113400,113596.88,100.17
815.6,105625.68,105692.4,100.06
817,103034.25,103102.13,100.07
818.4,106337,106337,100
819.8,112280,112280,100
821.3,110521.15,110735.2,100.19
822.7,108354.48,108499.63,100.13
824.1,114126.3,114200.03,100.06
825.5,118751.75,118751.75,100
826.9,118142.85,118142.85,100
828.3,117109.5,117032.2,99.93
829.7,117544.38,117465.75,99.93
831.1,118491.7,118491.7,100
832.5,120477.45,120477.45,100
834,123988.43,124070.7,100.07
835.3,127869.75,127869.75,100
836.8,131131.88,131131.88,100
838.2,133877.1,133877.1,100
839.6,135780.75,135780.75,100
841,137014.25,136925.63,99.94
842.3,137713.45,137713.45,100
843.8,138517.5,138335,99.87
845.2,139400.63,139308,99.93
846.5,139515.75,139515.75,100
847.9,137672.38,137672.38,100
849.3,135020.05,135116.7,100.07
850.7,133995.6,134093.55,100.07
852.1,131241.55,131241.55,100
853.5,127190,127190,100
854.9,128386.53,128284.55,99.92
856.3,132327.3,132224,99.92
857.7,134789.2,134789.2,100
859,135776,135776,100
860.4,135835.65,135943.2,100.08
861.8,136016.1,136016.1,100
863.2,135074.55,135074.55,100
